,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
296,C=CC(=O)N(c1ccc(I)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cncnc1,ALP-POS-568d9d36-1,,,26.27440664,4.580467083,,,,4.6336,518.742,1,4,75.19,6,3,0.047619048,0,0.381287511
297,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cc(F)ccc12,ALP-POS-902f21bb-1,,,99.5,,,,,3.2939,303.724,1,4,60.91,2,3,0.066666667,0,0.789936178
298,Nc1nn(C(=O)C2CCOc3ccc(Cl)cc32)c2ccncc12,ALP-POS-902f21bb-2,,,87.17048089,4.059630558,,,,2.8734,328.759,1,6,83.03,1,3,0.1875,0,0.742290117
299,CC(=O)c1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-6,,,99.5,,,,,6.4678,551.662,1,4,79.37,9,4,0.235294118,0,0.242001218
300,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2snc3ccccc23)cc1,ALP-POS-02c6a514-9,,,5.33429769,5.272922751,,,,7.0729,555.675,1,5,75.44,8,5,0.21875,0,0.222169365
301,Nc1ccc2[nH]c(C(=O)N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2c1,ALP-POS-02c6a514-10,,,99.5,,,,,4.26,525.54,3,6,134.32,8,5,0.103448276,0,0.204732584
302,CC(C)(C)c1ccc(N(C(=O)c2ccccc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-11,,,99.5,,,,,6.2652,509.625,1,3,62.3,8,4,0.21875,0,0.304742717
303,COc1cncc(C(C(=O)NCCc2cccc(F)c2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)c1C,ALP-POS-02c6a514-13,,,99.5,,,,,6.17522,543.639,1,5,84.67,9,4,0.28125,0,0.272747533
304,CC(C)(C)c1ccc(N(C(=O)C2CCCO2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-17,,,5.561955295,5.254772506,,,,5.1304,503.618,1,4,71.53,8,3,0.366666667,0,0.462671688
305,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2coc3ccccc23)cc1,ALP-POS-02c6a514-19,,,99.5,,,,,7.2094,538.619,1,4,75.69,8,5,0.212121212,0,0.226525661
306,Cn1cncc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-22,,,99.5,,,,,4.9987,513.617,1,5,80.12,8,4,0.266666667,0,0.359698659
307,CC(C)(C)c1ccc(N(C(=O)c2ccncc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-26,,,99.5,,,,,5.6602,510.613,1,4,75.19,8,4,0.225806452,0,0.331937005
308,Cn1nc(C(C(=O)NCCc2cccc(F)c2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)c2ccccc21,ALP-POS-02c6a514-31,,,99.5,,,,,6.3499,552.65,1,5,80.37,8,5,0.242424242,0,0.243306429
309,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cncc3ccccc23)cc1,ALP-POS-02c6a514-32,,,0.402512793,6.395220312,,,,7.0114,549.646,1,4,75.44,8,5,0.205882353,0,0.225907262
310,CC(C)(C)c1ccc(N(C(=O)c2cccc(C#N)c2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-33,,,99.5,,,,,6.13688,534.635,1,4,86.09,8,4,0.212121212,0,0.294380894
311,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cnc3ccccn23)cc1,ALP-POS-02c6a514-34,,,37.47424923,4.426267059,,,,6.1109,538.623,1,5,79.85,8,5,0.21875,0,0.258525244
312,COc1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-40,,,99.5,,,,,6.2738,539.651,1,4,71.53,9,4,0.242424242,0,0.272033943
313,Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,ALP-POS-02c6a514-44,,,0.111945707,6.950992556,,,,6.16662,513.613,1,4,75.44,8,4,0.258064516,0,0.305907273
314,CC(C)(C)c1ccc(N(C(=O)c2cn3ccccc3n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-45,,,18.20388702,4.739835869,,,,5.9129,549.65,1,5,79.6,8,5,0.212121212,0,0.260923016
315,CC(C)(C)c1ccc(N(C(=O)c2ncc[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-46,,,5.285527953,5.276911626,,,,4.9883,499.59,2,4,90.98,8,4,0.24137931,0,0.357448363
316,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2n[nH]c3ccccc23)cc1,ALP-POS-02c6a514-48,,,99.5,,,,,6.3395,538.623,2,4,91.23,8,5,0.21875,0,0.241227181
317,CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-49,,,0.800298769,6.096747851,,,,5.7217,516.642,1,5,75.19,8,4,0.24137931,0,0.324977089
318,CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-50,,,0.556690293,6.254386351,,,,5.2532,500.574,1,5,88.33,8,4,0.24137931,0,0.356887782
319,CC(C)(C)c1ccc(N(C(=O)C2CCCN2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-51,,,99.5,,,,,4.7034,502.634,2,4,74.33,8,3,0.366666667,0,0.468230386
320,CC(C)(C)c1ccc(N(C(=O)c2ccn[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-52,,,1.779347138,5.749739316,,,,4.9883,499.59,2,4,90.98,8,4,0.24137931,0,0.357448363
321,CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,ALP-POS-02c6a514-53,,,10.93063711,4.961354524,,,,3.5646,462.55,1,5,95.75,7,3,0.307692308,0,0.579220285
322,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCN2CCOCC2)c2cccnc2)cc1,ALP-POS-02c6a514-55,,,2.187742925,5.660003712,,,,3.8086,490.604,1,6,87.91,8,3,0.392857143,0,0.516748627
323,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)Nc2ccccc2)c2cccnc2)cc1,ALP-POS-02c6a514-56,,,11.20857955,4.950449421,,,,5.9989,453.542,1,4,75.44,6,4,0.178571429,0,0.388539864
324,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCc2ccccc2)c2cccnc2)cc1,ALP-POS-02c6a514-57,,,4.361682407,5.36034596,,,,5.6766,467.569,1,4,75.44,7,4,0.206896552,0,0.379603757
325,CC1CC(CCN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC(C)(C)C1,ALP-POS-b0bc6a46-1,,,99.5,,,,,6.2086,519.661,1,4,75.44,10,3,0.451612903,0,0.345630319
326,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccccc1)C(=O)c1ccco1,ALP-POS-b0bc6a46-2,,,99.5,,,,,4.5563,457.505,1,4,75.44,9,4,0.148148148,0,0.399976824
327,CCOC1CC2(C1)CC2N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-b0bc6a46-4,,,99.5,,,,,4.3137,491.563,1,5,84.67,10,3,0.392857143,0,0.456854147
328,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C2CCCC2)cc1,ALP-POS-b0bc6a46-5,,,0.281678425,6.550246417,,,,6.2183,511.597,1,4,75.44,9,4,0.258064516,0,0.289566048
329,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1cc(C(F)(F)F)cs1)C(=O)c1ccco1,ALP-POS-b0bc6a46-7,,,99.5,,,,,5.6366,531.531,1,5,75.44,9,4,0.192307692,0,0.283984673
330,COc1ccccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-b0bc6a46-8,,,99.5,,,,,4.5693,473.504,1,5,84.67,9,4,0.148148148,0,0.385035175
331,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccccc1C1CCC1)C(=O)c1ccco1,ALP-POS-b0bc6a46-10,,,1.929341459,5.714590903,,,,5.8238,511.597,1,4,75.44,10,4,0.258064516,0,0.290989602
332,CC(C)c1cc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1C(F)(F)F,ALP-POS-b0bc6a46-11,,,99.5,,,,,6.7029,553.556,1,4,75.44,9,4,0.233333333,0,0.234119209
333,CC(C)(C)c1cnc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)s1,ALP-POS-b0bc6a46-12,,,3.94023777,5.40447757,,,,5.3147,506.603,1,6,88.33,8,4,0.259259259,0,0.34970805
334,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1cccc(CSC2CCOCC2)c1,ALP-POS-b0bc6a46-13,,,99.5,,,,,5.9729,573.69,1,6,84.67,11,4,0.28125,0,0.237961874
335,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1NC(=O)C1CCCCC1,ALP-POS-b0bc6a46-14,,,62.70275131,4.202713403,,,,6.0881,598.675,2,6,113.77,11,4,0.294117647,0,0.216127175
336,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-c2n[nH]c3c2COCC3)cc1,ALP-POS-b0bc6a46-16,,,43.03009531,4.366227692,,,,5.0235,565.605,2,6,113.35,9,5,0.1875,0,0.259463742
337,COC(=O)CCSc1cc(Cl)ccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-b0bc6a46-17,,,16.64063175,4.77883019,,,,5.8693,596.08,1,7,101.74,12,4,0.2,0,0.161410515
338,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1OCCO,ALP-POS-b0bc6a46-18,,,99.5,,,,,3.9404,533.556,2,7,114.13,12,4,0.206896552,0,0.283571819
339,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1c(O)ccc2c1CCCC2)C(=O)c1ccco1,ALP-POS-b0bc6a46-19,,,12.07534346,4.918100508,,,,5.1407,527.596,2,5,95.67,9,4,0.258064516,0,0.314302264
340,CSc1ccc(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1C#N,ALP-POS-b0bc6a46-20,,,54.89068116,4.26050138,,,,5.14988,528.609,1,6,99.23,10,4,0.172413793,0,0.28595325
341,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](c2cc(F)cc(F)c2)C1,ALP-POS-b0bc6a46-21,,,99.5,,,,,5.5805,533.55,1,4,75.44,9,4,0.233333333,0,0.304877518
342,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-b0bc6a46-22,,,30.49767764,4.51573323,,,,4.5693,473.504,1,5,84.67,9,4,0.148148148,0,0.385035175
343,CC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-b0bc6a46-23,,,56.28195124,4.249630854,,,,4.7633,485.515,1,5,92.51,9,4,0.142857143,0,0.345146417
344,N#Cc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-b0bc6a46-24,,,10.39517762,4.983168085,,,,4.43238,468.488,1,5,99.23,8,4,0.111111111,0,0.412409243
345,COc1cc(C)ccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-b0bc6a46-25,,,99.5,,,,,4.87772,487.531,1,5,84.67,9,4,0.178571429,0,0.363894511
346,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCCC(c2ccc(F)c(F)c2)C1,ALP-POS-b0bc6a46-26,,,99.5,,,,,6.3607,561.604,1,4,75.44,9,4,0.28125,0,0.258098888
347,N#Cc1cc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1Oc1ccc(C(F)(F)F)cc1,ALP-POS-b0bc6a46-27,,,99.5,,,,,7.24348,628.582,1,6,108.46,10,5,0.117647059,0,0.163419975
348,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCN(c2ccccc2)CC1,ALP-POS-b0bc6a46-28,,,79.61279872,4.099017109,,,,5.0251,526.612,1,5,78.68,9,4,0.258064516,0,0.331237165
349,COC(=O)C(C)(CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccccc1F,ALP-POS-b0bc6a46-29,,,99.5,,,,,4.6261,561.585,1,6,101.74,11,4,0.225806452,0,0.268222104
350,Nc1nn(C(=O)C2CCOc3ccc(Cl)cc32)c2cc(F)ccc12,ALP-POS-e2fddb0f-2,,,99.5,,,,,3.6175,345.761,1,5,70.14,1,3,0.176470588,0,0.730962701
351,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccc(F)cc12,ALP-POS-cd485364-1,,,99.5,,,,,3.2939,303.724,1,4,60.91,2,3,0.066666667,0,0.789936178
352,Nc1cncc2c1CCCN2C(=O)Cc1cccc(Cl)c1,ALP-POS-cd485364-2,,,32.50610242,4.488035101,,,,2.8391,301.777,1,3,59.22,2,2,0.25,0,0.927646881
353,O=C1N[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,VLA-UCB-34f3ed0c-11,,,20.50232132,4.688196964,,,,3.6224,379.803,1,4,71.53,1,3,0.15,0,0.655345793
354,O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21,MAT-POS-0c8fa4a7-1,,,0.233267259,6.632146214,,,,4.8565,334.806,1,2,41.99,2,3,0.1,0,0.727052979
355,COc1ccc2c(c1)c(N)nn2C(=O)Cc1cccc(Cl)c1,MAT-POS-0c8fa4a7-2,,,99.5,,,,,3.1634,315.76,1,5,70.14,3,3,0.125,0,0.805648021
356,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccccc12,MAT-POS-0c8fa4a7-3,,,99.5,,,,,3.1548,285.734,1,4,60.91,2,3,0.066666667,0,0.786602614
357,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccc(F)c12,MAT-POS-0c8fa4a7-4,,,99.5,,,,,3.2939,303.724,1,4,60.91,2,3,0.066666667,0,0.789936178
358,COc1ccc2c(N)nn(C(=O)Cc3cccc(Cl)c3)c2c1,MAT-POS-53907a1c-1,,,99.5,,,,,3.1634,315.76,1,5,70.14,3,3,0.125,0,0.805648021
359,Cc1ccncc1NC(=O)N(CCC1CCCCC1)c1cc(Cl)cc(OC(C)C)c1,MAT-POS-53907a1c-2,,,24.56008476,4.609770139,,,,6.83952,429.992,1,3,54.46,7,2,0.5,0,0.523689164
360,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,MAT-POS-53907a1c-3,,,0.104653233,6.980247351,,,,6.1219,493.007,2,4,83.56,7,3,0.37037037,0,0.388907234
361,Cc1nc(CN2C(=O)C(=O)c3cc(Br)ccc32)cs1,LOR-NOR-c954e7ad-1,,,99.5,,,,,2.94352,337.198,0,4,50.27,2,2,0.153846154,0,0.791987996
362,CCCCN1C(=O)C(=O)c2cc(Br)cc(C)c21,LOR-NOR-c954e7ad-2,,,99.5,,,,,3.08692,296.164,0,2,37.38,3,1,0.384615385,0,0.803800893
363,CC(C)CCN1C(=O)C(=O)c2cc(Br)ccc21,LOR-NOR-c954e7ad-3,,,99.5,,,,,3.0245,296.164,0,2,37.38,3,1,0.384615385,0,0.804020969
364,CCc1ccc2c(c1)C(=O)C(=O)N2CC(=O)O,LOR-NOR-c954e7ad-4,,,99.5,,,,,0.8629,233.223,1,3,74.68,3,1,0.25,0,0.785639433
365,O=C(O)CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,LOR-NOR-c954e7ad-5,,,99.5,,,,,0.2087,250.166,1,5,117.82,3,1,0.1,0,0.464996894
366,O=C1C(=O)N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc21,LOR-NOR-c954e7ad-6,,,99.5,,,,,2.3243,282.255,0,4,80.52,3,2,0.066666667,0,0.491273885
367,CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,MIC-UNK-91acba05-6,,,0.442977049,6.353618774,,,,4.4504,351.837,1,3,45.23,2,3,0.2,0,0.741470984
368,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,CHO-MSK-00c5269a-1,,,2.334278474,5.631847335,,,,4.62652,390.874,0,4,51.02,5,4,0.136363636,0,0.499007487
369,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,CHO-MSK-00c5269a-2,,,1.137761874,5.943948623,,,,4.3267,406.873,0,5,60.25,6,4,0.136363636,0,0.477952624
370,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1,CHO-MSK-00c5269a-4,,,3.700942987,5.431687605,,,,4.1547,461.953,0,6,63.49,6,4,0.24,0,0.431265807
371,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1,CHO-MSK-00c5269a-5,,,3.646735111,5.438095782,,,,5.3084,459.981,0,5,54.26,6,4,0.269230769,0,0.391887823
372,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,ALP-POS-64a710fa-1,,,9.861134491,5.006073118,,,,5.838,392.568,0,3,33.2,7,3,0.416666667,0,0.5060841
373,CN(C)CCCN(Cc1cccs1)C(=O)Cc1cncc2ccccc12,ALP-POS-64a710fa-2,,,99.5,,,,,3.8193,367.518,0,4,36.44,8,3,0.333333333,0,0.607234598
374,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,MAT-POS-199e2e7c-1,,,5.163414002,5.287063052,,,,3.4049,286.762,1,2,41.99,3,2,0.25,0,0.939423286
375,O=C(Nc1cncc2ccccc12)C1COc2c(Cl)cccc21,FRA-DIA-c7e803f4-1,,,4.757495619,5.322621603,,,,4.0029,324.767,1,3,51.22,2,3,0.111111111,0,0.774754743
376,O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12,PET-UNK-e44ffd04-1,,,99.5,,,,,2.5639,286.722,1,4,59.29,3,3,0.071428571,0,0.804855345
377,O=C(Cc1cc(Cl)cc(-c2nnc[nH]2)c1)Nc1cncc2ccccc12,RAL-THA-1d44ff04-8,,,5.295938101,5.2760571,,,,3.8545,363.808,2,4,83.56,4,4,0.052631579,0,0.576423221
378,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)noc2c1,EDJ-MED-c8e7a002-1,,,99.5,,,,,3.671,316.744,1,4,64.36,4,3,0.125,0,0.79728913
379,COc1ccc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c2c1,EDJ-MED-c8e7a002-2,,,99.5,,,,,3.4061,315.76,2,3,67.01,4,3,0.125,0,0.775051051
380,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,EDJ-MED-c8e7a002-3,,,99.5,,,,,3.4061,315.76,2,3,67.01,4,3,0.125,0,0.775051051
381,Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-c8e7a002-4,,,75.25738154,4.123450896,,,,2.87232,300.749,1,4,59.29,3,3,0.133333333,0,0.808895368
382,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,EDJ-MED-c8e7a002-5,,,99.5,,,,,4.11972,368.746,2,3,70.67,3,3,0.1875,0,0.730196223
383,Cc1nn(C)c2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c12,EDJ-MED-c8e7a002-6,,,99.5,,,,,2.43942,303.753,2,4,75.6,3,3,0.214285714,0,0.780066017
384,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccc(F)cc12,EDJ-MED-c8e7a002-9,,,99.5,,,,,3.5366,303.724,2,2,57.78,3,3,0.066666667,0,0.777326949
385,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cc(F)ccc12,EDJ-MED-c8e7a002-10,,,99.5,,,,,3.5366,303.724,2,2,57.78,3,3,0.066666667,0,0.777326949
386,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccccc12,EDJ-MED-c8e7a002-11,,,99.5,,,,,3.3975,285.734,2,2,57.78,3,3,0.066666667,0,0.774743059
387,O=C(Cc1cccc(Cl)c1)Nc1cccc2cn[nH]c12,EDJ-MED-c8e7a002-12,,,99.5,,,,,3.3975,285.734,2,2,57.78,3,3,0.066666667,0,0.774743059
388,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccc(F)c12,EDJ-MED-c8e7a002-13,,,99.5,,,,,3.5366,303.724,2,2,57.78,3,3,0.066666667,0,0.777326949
389,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccnc12,EDJ-MED-c8e7a002-14,,,99.5,,,,,2.7925,286.722,2,3,70.67,3,3,0.071428571,0,0.777594813
390,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccnc(Br)c12,EDJ-MED-c8e7a002-15,,,99.5,,,,,3.555,365.618,2,3,70.67,3,3,0.071428571,0,0.697286491
391,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccncc12,EDJ-MED-c8e7a002-16,,,99.5,,,,,2.7925,286.722,2,3,70.67,3,3,0.071428571,0,0.777594813
392,O=C1CC(NC(=O)C2CCOc3ccc(Cl)cc32)CCN1,ALP-POS-8b8a49e1-4,,,,,,,,1.6009,308.765,2,3,67.43,2,1,0.466666667,0,0.871856957
393,O=C(Nc1[nH]nc2cccc(F)c12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-5,,,99.5,,,,,3.8602,345.761,2,3,67.01,2,3,0.176470588,0,0.740766689
394,O=C(Nc1[nH]nc2ccccc12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-6,,,99.5,,,,,3.7211,327.771,2,3,67.01,2,3,0.176470588,0,0.753468861
395,O=C(Nc1[nH]nc2cccnc12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-7,,,99.5,,,,,3.1161,328.759,2,4,79.9,2,3,0.1875,0,0.757141392
396,COc1ccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,JAG-UCB-52b62a6f-8,,,,,,,,3.7297,357.797,2,4,76.24,3,3,0.222222222,0,0.748461165
397,O=C(Nc1[nH]nc2cc(F)ccc12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-9,,,,,,,,3.8602,345.761,2,3,67.01,2,3,0.176470588,0,0.740766689
398,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)noc2c1,JAG-UCB-52b62a6f-10,,,61.50219391,4.211109392,,,,3.9946,358.781,1,5,73.59,3,3,0.222222222,0,0.765770471
399,Cc1ccn2cnnc2c1NC(=O)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-11,,,99.5,,,,,3.19592,342.786,1,5,68.52,2,3,0.235294118,0,0.77617898
400,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)[nH]nc2c1,JAG-UCB-52b62a6f-12,,,99.5,,,,,3.7297,357.797,2,4,76.24,3,3,0.222222222,0,0.748461165
401,O=C(Nc1cccc2cn[nH]c12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-13,,,99.5,,,,,3.7211,327.771,2,3,67.01,2,3,0.176470588,0,0.753468861
402,O=C(Nc1n[nH]c2ccnc(Br)c12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-15,,,99.5,,,,,3.8786,407.655,2,4,79.9,2,3,0.1875,0,0.631888907
403,O=C(Nc1n[nH]c2ccncc12)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-16,,,70.25264226,4.153337337,,,,3.1161,328.759,2,4,79.9,2,3,0.1875,0,0.757141392
404,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,JAG-UCB-52b62a6f-19,,,25.97764279,4.585400259,,,,4.44332,410.783,2,4,79.9,2,3,0.277777778,0,0.654070317
405,O=C(Nc1cc[nH]c(=O)c1)C1CCOc2ccc(Cl)cc21,BEN-DND-b89db3f2-2,,,99.5,,,,,2.5331,304.733,2,3,71.19,2,2,0.2,0,0.895360979
406,O=C(Cc1cc(Cl)ccc1F)Nc1cncc2ccccc12,PET-UNK-dd44aeb6-1,,,0.706793758,6.150707295,,,,4.2085,314.747,1,2,41.99,3,3,0.058823529,0,0.786606707
407,O=C(Cc1cc(Cl)ccc1Cl)Nc1cncc2ccccc12,PET-UNK-dd44aeb6-2,,,1.020267524,5.991285937,,,,4.7228,331.202,1,2,41.99,3,3,0.058823529,0,0.754251273
408,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCN2CCOCC2C)c1,MAT-POS-500ca5bf-1,,,99.5,,,,,3.32412,403.91,1,5,63.69,7,2,0.428571429,0,0.767829603
409,O=C(Cc1cccc(Cl)c1)N[C@H]1CCNC1=O,MAT-POS-500ca5bf-2,,,,,,,,0.8872,252.701,2,2,58.2,3,1,0.333333333,0,0.839415485
410,Cn1cc(CN(C(=O)Cn2nnc3ccccc32)c2ccc(N3CCCCC3)cc2)cn1,ALP-POS-7c842ab8-1,,,99.5,,,,,3.3885,429.528,0,7,72.08,6,4,0.333333333,0,0.469839526
411,O=C(Cc1cc(Cl)cc(CC2CC(=O)N2)c1)Nc1cncc2ccccc12,EDJ-MED-50011917-1,,,4.567054713,5.340363786,,,,3.5004,379.847,2,3,71.09,5,3,0.19047619,0,0.66634551
412,C[C@@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1,MAT-POS-8a69d52e-2,,,0.679289734,6.167944949,,,,4.7815,352.821,1,3,51.22,2,3,0.2,0,0.721577145
413,C[C@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1,MAT-POS-8a69d52e-3,,,52.07061386,4.283407302,,,,4.7815,352.821,1,3,51.22,2,3,0.2,0,0.721577145
414,C[C@H]1COc2ccc(Cl)cc2[C@H]1C(=O)Nc1cncc2ccccc12,MAT-POS-8a69d52e-5,,,99.5,,,,,4.639,352.821,1,3,51.22,2,3,0.2,0,0.730615695
