,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
158,COc1c(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)[nH]c(=O)[nH]c1=O,ALP-POS-305f6ec3-45,,,99.5,,,,,3.6504,573.625,3,6,137.25,9,4,0.258064516,0,0.279626843
159,Cn1ncc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)n1,ALP-POS-305f6ec3-46,,,17.6000934,4.754485027,,,,4.3937,514.605,1,6,93.01,8,4,0.275862069,0,0.376442843
160,CC(C)(C)c1ccc(N(C(=O)c2cnco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-305f6ec3-49,,,4.17621323,5.379217335,,,,5.2532,500.574,1,5,88.33,8,4,0.24137931,0,0.356887782
161,Cn1cc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ncc1=O,ALP-POS-305f6ec3-50,,,99.5,,,,,4.3589,541.627,1,6,97.19,8,4,0.258064516,0,0.357637046
162,CC(C)(C)c1ccc(N(C(=O)c2[nH]nc(O)c2CCO)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-305f6ec3-51,,,99.5,,,,,4.2287,559.642,4,6,131.44,10,4,0.290322581,0,0.230045252
163,CC(C)(C)c1ccc(N(C(=O)c2c[nH]c(=O)[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-305f6ec3-52,,,15.91777464,4.798117648,,,,4.2816,515.589,3,4,110.95,8,4,0.24137931,0,0.325247481
164,COCCn1nc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1=O,ALP-POS-305f6ec3-53,,,99.5,,,,,4.4683,585.68,1,7,106.42,11,4,0.303030303,0,0.278543945
165,Cn1cnc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)n1,ALP-POS-305f6ec3-55,,,74.15101315,4.129882911,,,,4.3937,514.605,1,6,93.01,8,4,0.275862069,0,0.376442843
166,Cn1cc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)n(C)c1=O,ALP-POS-305f6ec3-56,,,99.5,,,,,4.3024,543.643,1,6,89.23,8,4,0.290322581,0,0.358934979
167,Cn1c(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c[nH]c1=O,ALP-POS-305f6ec3-57,,,99.5,,,,,4.292,529.616,2,5,100.09,8,4,0.266666667,0,0.355667798
